Stop Number,Total Routes,Description,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Route 10,Route 11,Route 12,Route 13
13529,1,30th Ave & Rivera St,66
13531,1,30th Ave & Santiago St,66
13530,1,30th Ave & Santiago St,66
13533,0,30th Ave & Taraval St
13532,0,30th Ave & Taraval St
13534,1,30th Ave & Ulloa St,66
13536,2,30th St & Church St,24,24
13535,2,30th St & Church St,24,24
13537,5,30th St & Dolores St,36,J,J,24,24
13538,4,30th St & Dolores St,J,36,24,24
13541,0,30th St & Mission St
13540,0,30th St & Mission St
13542,2,30th St & Noe St,24,24
13544,2,30th St & Sanchez St,24,24
13543,2,30th St & Sanchez St,24,24
14164,1,328 Corbett Ave,37
17837,0,32nd Ave & Anza St
13546,3,32nd Ave & California St,1X,1,1
13547,2,32nd Ave & California St,1X,1
13549,2,32nd Ave & Clement St,1X,1
13548,3,32nd Ave & Clement St,1X,1,1
13550,1,32nd Ave & Geary Blvd,1
15634,1,33 Moffitt St,35
13552,2,33rd Ave & Anza St,18,18
13551,2,33rd Ave & Anza St,38,18
13554,2,33rd Ave & Balboa St,38,18
13553,2,33rd Ave & Balboa St,18,18
13555,5,33rd Ave & Clement St,1X,18,1,18,1
13556,2,33rd Ave & Clement St,1X,18
13560,0,33rd Ave & Geary Blvd
13559,0,33rd Ave & Geary Blvd
13558,0,33rd Ave & Geary Blvd
13557,0,33rd Ave & Geary Blvd
14165,1,341 Corbett Ave,37
16908,1,345 Warren Dr E,36
16942,1,356 Wilde Ave,56
13561,2,36th Ave & Lincoln Way,29,29
13562,1,37th Ave & Lincoln Way,29
17835,0,37th Ave & Ortega St
16348,5,3800 San Bruno Ave,90,8,9,9,8AX
16350,5,3801 San Bruno Ave,8AX,56,90,9,8
13563,1,39th Ave & Quintara St,48
13565,1,39th Ave & Rivera St,48
13564,1,39th Ave & Rivera St,48
13103,0,3rd St & 20th St
13104,0,3rd St & 20th St
17473,1,3rd St & 22nd St,55
13107,2,3rd St & 23rd St,TBUS,91
13108,2,3rd St & 23rd St,TBUS,91
13016,2,3rd St & 4th St,TBUS,91
13113,2,3rd St & Bayview St,TBUS,91
13114,8,3rd St & Brannan St,30,TBUS,30,15,45,91,45,30
13144,9,3rd St & Bryant St,30,8AX,30,45,91,45,8BX,30,8
13115,1,3rd St & Carroll Ave,91
